Datum;Tid (UTC);Lufttemperatur;Vindriktning;Vindhastighet
2022-11-05;23:00:00;4.8;150;3.0
2022-11-06;00:00:00;4.6;180;2.0
2022-11-06;01:00:00;4.1;160;4.0
2022-11-06;02:00:00;3.4;160;3.0
2022-11-06;03:00:00;1.5;160;2.0
2022-11-06;04:00:00;0.4;120;1.0
2022-11-06;05:00:00;0.3;110;1.0
2022-11-06;06:00:00;0.3;130;1.0
2022-11-06;07:00:00;0.3;130;1.0
2022-11-06;08:00:00;0.4;60;1.0
2022-11-06;09:00:00;0.7;80;1.0
2022-11-06;10:00:00;0.8;60;1.0
2022-11-06;11:00:00;1.2;70;1.0
2022-11-06;12:00:00;1.4;30;1.0
2022-11-06;13:00:00;1.5;50;1.0
2022-11-06;14:00:00;1.6;40;1.0
2022-11-06;15:00:00;1.6;0;0.0
2022-11-06;16:00:00;1.7;0;0.0
2022-11-06;17:00:00;1.7;20;1.0
2022-11-06;18:00:00;1.7;0;0.0
2022-11-06;19:00:00;1.6;320;1.0
2022-11-06;20:00:00;1.6;310;1.0
2022-11-06;21:00:00;1.4;270;1.0
2022-11-06;22:00:00;1.2;290;1.0
2022-11-06;23:00:00;1.2;300;1.0
2022-11-07;00:00:00;0.65;265;1.0
2022-11-07;01:00:00;0.1;230;1.0
2022-11-07;02:00:00;-0.7;0;0.0
2022-11-07;03:00:00;-1.0;0;0.0
2022-11-07;04:00:00;-0.4;320;1.0
2022-11-07;05:00:00;-0.1;250;1.0
2022-11-07;06:00:00;0.3;280;1.0
2022-11-07;07:00:00;0.3;300;1.0
2022-11-07;08:00:00;0.3;280;1.0
2022-11-07;09:00:00;0.5;280;1.0
2022-11-07;10:00:00;0.4;300;1.0
2022-11-07;11:00:00;0.6;300;1.0
2022-11-07;12:00:00;0.8;290;2.0
2022-11-07;13:00:00;0.3;280;1.0
2022-11-07;14:00:00;-0.4;280;2.0
2022-11-07;15:00:00;-0.9;250;1.0
2022-11-07;16:00:00;-0.9;250;1.0
2022-11-07;17:00:00;-1.5;260;1.0
2022-11-07;18:00:00;-2.3;280;2.0
2022-11-07;19:00:00;-2.6;270;1.0
2022-11-07;20:00:00;-2.3;280;2.0
2022-11-07;21:00:00;-2.5;270;1.0
2022-11-07;22:00:00;-3.1;250;2.0
2022-11-07;23:00:00;-2.9;260;3.0
2022-11-08;00:00:00;-2.4;280;2.0
2022-11-08;01:00:00;-3.2;270;1.0
2022-11-08;02:00:00;-2.8;290;2.0
2022-11-08;03:00:00;-2.9;270;2.0
2022-11-08;04:00:00;-2.7;270;1.0
2022-11-08;05:00:00;-3.3;220;1.0
2022-11-08;06:00:00;-2.6;280;1.0
2022-11-08;07:00:00;-2.1;280;2.0
2022-11-08;08:00:00;-1.6;270;1.0
2022-11-08;09:00:00;-0.2;350;2.0
2022-11-08;10:00:00;-0.2;360;1.0
2022-11-08;11:00:00;-0.2;10;2.0
2022-11-08;12:00:00;-0.4;350;1.0
2022-11-08;13:00:00;-0.5;330;1.0
2022-11-08;14:00:00;-0.7;350;1.0
2022-11-08;15:00:00;-0.7;350;1.0
2022-11-08;16:00:00;-0.7;360;1.0
2022-11-08;17:00:00;-1.0;310;1.0
2022-11-08;18:00:00;-1.0;330;1.0
2022-11-08;19:00:00;-1.0;360;1.0
2022-11-08;20:00:00;-1.1;360;1.0
2022-11-08;21:00:00;-1.6;350;1.0
2022-11-08;22:00:00;-1.7;360;1.0
2022-11-08;23:00:00;-2.0;340;1.0
2022-11-09;00:00:00;-1.9;350;1.0
2022-11-09;01:00:00;-2.1;350;1.0
2022-11-09;02:00:00;-2.3;30;1.0
2022-11-09;03:00:00;-2.8;20;1.0
2022-11-09;04:00:00;-3.3;10;1.0
2022-11-09;05:00:00;-3.1;40;1.0
2022-11-09;06:00:00;-3.5;40;1.0
2022-11-09;07:00:00;-3.9;40;1.0
2022-11-09;08:00:00;-4.3;50;2.0
2022-11-09;09:00:00;-4.4;50;1.0
2022-11-09;10:00:00;-4.6;30;1.0
2022-11-09;11:00:00;-4.1;330;1.0
2022-11-09;12:00:00;-4.1;290;1.0
2022-11-09;13:00:00;-3.9;260;1.0
2022-11-09;14:00:00;-3.7;290;1.0
2022-11-09;15:00:00;-3.5;250;1.0
2022-11-09;16:00:00;-3.4;0;0.0
2022-11-09;17:00:00;-3.2;260;1.0
